"Date","sp500","dowjones","nasdaq","bitcoin","ethereum"
2021-01-03,3824.68,58.21,13201.97,40151.9,1275.58
2021-01-10,3768.25,57.31,12998.5,36019.5,1228.27
2021-01-17,3841.47,57.5,13543.06,32088.9,1233.4
2021-01-24,3714.24,51.9,13070.7,34283.1,1376.96
2021-01-31,3886.83,57.24,13856.3,39256.6,1676.63
2021-02-07,3934.83,58.15,14095.47,47168.7,1815.49
2021-02-14,3906.71,60.39,13874.47,55923.7,1913.88
2021-02-21,3811.15,59.31,13192.35,46136.7,1458.93
2021-02-28,3841.94,62.91,12920.15,48855.6,1649.19
2021-03-07,3943.34,64.34,13319.86,61195.3,1921.13
2021-03-14,3913.1,63.91,13215.24,58093.4,1804.6
2021-03-21,3974.54,63.99,13138.72,55862.9,1713.01
2021-03-28,4019.87,64.6,13480.11,57059.9,2008.59
2021-04-04,4128.8,63.14,13900.19,59748.4,2133.79
2021-04-11,4185.47,64.68,14052.34,60041.9,2318.33
2021-04-18,4180.17,62.11,14016.81,50088.9,2215.93
2021-04-25,4181.17,62.5,13962.68,57807.1,2944.66
2021-05-02,4232.6,69.04,13752.24,58840.1,3905.55
2021-05-09,4173.85,69.83,13429.98,46708.8,3641.65
2021-05-16,4155.86,68.83,13470.99,37448.3,2291.6
2021-05-23,4204.11,68.42,13748.74,34584.6,2276.07
2021-05-30,4229.89,70.37,13814.49,35520,2628.98
2021-06-06,4247.44,68,14069.42,35467.5,2368.47
2021-06-13,4166.45,61.98,14030.38,35513.4,2166.91
2021-06-20,4280.7,63.29,14360.39,32243.4,1830.62
2021-06-27,4352.34,63.51,14639.33,34742.8,2224.7
2021-07-04,4369.55,63.08,14701.92,33510.6,2111.12
2021-07-11,4327.16,60.01,14427.24,31518.6,1897.98
2021-07-18,4411.79,60.11,14836.99,33824.8,2151.85
2021-07-25,4395.26,62.16,14672.68,41553.7,2532.19
2021-08-01,4436.52,62,14835.76,44614.2,3158
2021-08-08,4468,63.69,14822.9,47081.5,3264.69
2021-08-15,4441.67,60.89,14714.66,48875.8,3223.96
2021-08-22,4509.37,65.38,15129.5,48897.1,3243.9
2021-08-29,4535.43,62.12,15363.52,49918.4,3884.97
2021-09-05,4458.58,60.41,15115.49,45161.9,3267.33
2021-09-12,4432.99,57.75,15043.97,48306.7,3435.97
2021-09-19,4455.48,56.81,15047.7,42686.8,2922.55
2021-09-26,4357.04,58.58,14566.7,47666.9,3388.97
2021-10-03,4391.34,58.71,14579.54,54942.5,3574.2
2021-10-10,4471.37,58.96,14897.34,60861.1,3827.55
2021-10-17,4544.9,58.4,15090.2,61312.5,4168.85
2021-10-24,4605.38,55.97,15498.39,61840.1,4320.65
2021-10-31,4697.53,58.31,15971.59,61483.9,4517.36
2021-11-07,4682.85,60.06,15860.96,64398.6,4644.61
2021-11-14,4697.96,57.34,16057.44,59717.6,4408.85
2021-11-21,4594.62,57.6,15491.66,54765.9,4094.8
2021-11-28,4538.43,53.07,15085.47,49195.2,4123.46
2021-12-05,4712.02,54.68,15630.6,49314.5,4075.66
